,Date,ActiveCases,AL3_NCR-National capital region_SC2 HSC 18.0%,S-AL3_NCR-National capital region_SC2 HSC 18.0%,E-AL3_NCR-National capital region_SC2 HSC 18.0%,IS-AL3_NCR-National capital region_SC2 HSC 18.0%,IA-AL3_NCR-National capital region_SC2 HSC 18.0%,R-AL3_NCR-National capital region_SC2 HSC 18.0%,V1-AL3_NCR-National capital region_SC2 HSC 18.0%,Ev1-AL3_NCR-National capital region_SC2 HSC 18.0%,ISv1-AL3_NCR-National capital region_SC2 HSC 18.0%,IAv1-AL3_NCR-National capital region_SC2 HSC 18.0%,V2-AL3_NCR-National capital region_SC2 HSC 18.0%,Ev2-AL3_NCR-National capital region_SC2 HSC 18.0%,ISv2-AL3_NCR-National capital region_SC2 HSC 18.0%,IAv2-AL3_NCR-National capital region_SC2 HSC 18.0%
0,2021-07-01,7263.0,7255.0,9670126.0,2042.0,2493.0,99.0,790428.0,2369751.0,629.0,693.0,44.0,1122322.0,174.0,144.0,21.0
1,2021-07-02,7642.0,7108.6565,9624712.4787,2556.7175,2347.7181,131.4915,791293.3558,2337724.687,686.0898,651.8609,56.4656,1198588.0588,185.0168,139.7793,26.2954
2,2021-07-03,7568.0,6958.251,9579326.2027,2955.6314,2308.343,165.4161,792139.8064,2305706.2356,726.985,628.9499,66.6543,1274849.0037,195.8965,138.9305,30.5318
3,2021-07-04,7677.0,6820.0682,9533938.1439,3285.8482,2339.6213,197.6818,792975.0423,2273690.0577,759.6458,618.2912,74.8616,1351103.3884,207.9693,140.5705,34.114
4,2021-07-05,7540.0,6703.6804,9488529.6626,3576.5963,2418.5243,227.3709,793805.385,2241672.6732,788.6951,616.0753,81.5331,1427350.0718,222.0499,144.2159,37.3804
5,2021-07-06,7222.0,6614.4393,9443088.4977,3846.0708,2530.0918,254.5594,794636.2683,2209651.8909,816.7584,619.8821,87.1063,1503588.1097,238.6279,149.6366,40.5974
6,2021-07-07,6898.0,6555.0795,9397606.2817,4105.6685,2664.6731,279.7111,795472.5361,2177626.3062,845.2788,628.1742,91.9504,1579816.6796,257.9948,156.7573,43.9664
7,2021-07-08,7147.0,6526.743,9352077.0087,4362.5979,2816.1069,303.386,796318.6299,2145594.9935,875.0068,639.9694,96.3515,1656035.0278,280.328,165.5928,47.6357
8,2021-07-09,7594.0,6529.6308,9306496.0892,4621.4881,2980.5187,326.1107,797178.7075,2113557.3192,906.2946,654.6318,100.5198,1732242.4331,305.7433,176.2062,51.7128
9,2021-07-10,7529.0,6563.4135,9260859.7713,4885.3762,3155.5308,348.3317,798056.7214,2081512.8281,939.2701,671.7395,104.6031,1808438.1822,334.3286,188.6848,56.2752
