,Date,CumulativeSumAdmitted,AL3_NCR-Nationals capital region_SC2 HSC 18.0%,S-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,E-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,IS-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,IA-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,R-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,V1-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,Ev1-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,ISv1-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,IAv1-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,V2-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,Ev2-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,ISv2-AL3_NCR-Nationals capital region_SC2 HSC 18.0%,IAv2-AL3_NCR-Nationals capital region_SC2 HSC 18.0%
0,2021-07-01,527815.0,527815.0,9936951.0,2847.0,3620.0,166.0,520973.0,2369751.0,839.0,963.0,71.0,1122322.0,233.0,200.0,34.0
1,2021-07-02,528479.0,528430.4109,9891392.616,3337.3981,3470.1714,198.7073,521964.9432,2337704.5446,876.2967,925.3556,82.7089,1198583.051,237.8708,199.0326,38.795
2,2021-07-03,529181.0,529030.72,9845858.5414,3718.9127,3421.776,232.4025,522945.5957,2305665.4751,901.3871,901.7886,91.7003,1274838.4612,244.1886,200.0469,42.3497
3,2021-07-04,529969.0,529628.5855,9800327.8422,4030.1212,3442.9421,264.2026,523921.4439,2273629.862,920.0182,887.7731,98.5263,1351087.2314,252.5935,202.5883,45.2109
4,2021-07-05,530613.0,530232.6472,9754786.7843,4296.1336,3511.7446,293.1396,524897.6645,2241595.2026,935.6128,880.3815,103.735,1427328.5608,263.4306,206.4736,47.7729
5,2021-07-06,531044.0,530848.8466,9709226.2881,4533.3176,3613.1768,319.175,525878.543,2209559.9104,950.1483,877.7303,107.7968,1503561.7875,276.8573,211.6772,50.3126
6,2021-07-07,531542.0,531481.3241,9663640.2706,4752.3778,3737.0165,342.6668,526867.7452,2177522.9861,964.7155,878.6073,111.0833,1579786.345,292.9169,218.2565,53.0191
7,2021-07-08,532329.0,532133.022,9618024.5777,4960.3432,3876.3401,364.0984,527868.495,2145483.8069,979.8684,882.2258,113.8727,1656001.7301,311.5876,226.3051,56.0179
8,2021-07-09,533102.0,532806.0884,9572376.2956,5161.8526,4026.4909,383.9483,528883.6898,2113441.9929,995.8426,888.0648,116.364,1732207.48,332.8152,235.9255,59.389
9,2021-07-10,533835.0,533502.1481,9526693.3069,5359.9874,4184.3641,402.6361,529915.9791,2081397.3201,1012.6903,895.7661,118.6943,1808403.1565,356.5334,247.2138,63.1809
10,2021-07-11,534491.0,534222.4814,9480974.0088,5556.8068,4347.9149,420.5066,530967.8166,2049349.6672,1030.362,905.07,120.9536,1884588.3344,382.6763,260.2527,67.4211
11,2021-07-12,535095.0,534968.1442,9435217.1289,5753.7002,4515.8156,437.8322,532041.4976,2017298.9803,1048.7563,915.7749,123.1982,1960762.5937,411.1854,275.1089,72.1234
12,2021-07-13,535519.0,535740.0455,9389421.6118,5951.6091,4687.2252,454.8225,533139.1842,1985245.2516,1067.749,927.7139,125.4604,2036925.5143,442.0127,291.8344,77.2932
13,2021-07-14,536067.0,536538.9998,9343586.5445,6151.1767,4861.6264,471.6358,534262.9259,1953188.5054,1087.2091,940.74,127.7562,2113076.6722,475.1229,310.468,82.9312
14,2021-07-15,536722.0,537365.7598,9297711.1113,6352.842,5038.7168,488.3902,535414.673,1921128.7898,1107.0082,954.7189,130.0908,2189215.6371,510.4926,331.0385,89.036
15,2021-07-16,537586.0,538221.038,9251794.5649,6556.9022,5218.3341,505.1726,536596.2887,1889066.1715,1127.0242,969.5243,132.4624,2265341.9707,548.1099,353.5666,95.6053
16,2021-07-17,538393.0,539105.5214,9205836.208,6763.5564,5400.4026,522.0464,537809.5581,1857000.7322,1147.1436,985.0357,134.865,2341455.2259,587.9732,378.0683,102.6373
17,2021-07-18,539099.0,540019.8785,9159835.3842,6972.9303,5584.9011,539.0573,539056.1958,1824932.5674,1167.2611,1001.1381,137.2899,2417554.946,630.0898,404.5565,110.131
