,Date,CumulativeSumAdmitted,AL4_Negros oriental_SC1 HSC 16.0%,S-AL4_Negros oriental_SC1 HSC 16.0%,E-AL4_Negros oriental_SC1 HSC 16.0%,IS-AL4_Negros oriental_SC1 HSC 16.0%,IA-AL4_Negros oriental_SC1 HSC 16.0%,R-AL4_Negros oriental_SC1 HSC 16.0%,V1-AL4_Negros oriental_SC1 HSC 16.0%,Ev1-AL4_Negros oriental_SC1 HSC 16.0%,ISv1-AL4_Negros oriental_SC1 HSC 16.0%,IAv1-AL4_Negros oriental_SC1 HSC 16.0%,V2-AL4_Negros oriental_SC1 HSC 16.0%,Ev2-AL4_Negros oriental_SC1 HSC 16.0%,ISv2-AL4_Negros oriental_SC1 HSC 16.0%,IAv2-AL4_Negros oriental_SC1 HSC 16.0%
0,2021-07-01,9521.0,9521.0,1317238.0,532.0,753.0,36.0,8197.0,54582.0,22.0,26.0,2.0,23841.0,6.0,5.0,1.0
1,2021-07-02,9749.0,9649.1127,1316026.7411,523.5368,678.1909,38.4453,8347.5267,54571.3923,21.0856,23.909,2.1629,24963.2537,5.5987,4.822,1.06
2,2021-07-03,9858.0,9765.5771,1314823.922,509.0294,618.337,39.6665,8495.4445,54561.0759,20.0742,22.1706,2.2318,26085.4947,5.2404,4.6534,1.0733
3,2021-07-04,9971.0,9872.5579,1313628.063,490.9071,569.213,39.967,8640.4931,54550.9996,19.0297,20.6777,2.2365,27207.7167,4.9234,4.4859,1.0586
4,2021-07-05,10061.0,9971.6138,1312438.099,470.7843,527.8771,39.5986,8782.433,54541.1262,17.9914,19.3606,2.1986,28329.9151,4.644,4.3171,1.0283
5,2021-07-06,10074.0,10063.8858,1311253.2476,449.7304,492.2751,38.7606,8921.0535,54531.4288,16.9826,18.1738,2.1333,29452.087,4.3981,4.1475,0.9902
6,2021-07-07,10083.0,10150.2218,1310072.9229,428.442,460.9774,37.6061,9056.1759,54521.887,16.0163,17.088,2.0515,30574.2304,4.1815,3.9792,0.9492
7,2021-07-08,10209.0,10231.268,1308896.673,407.3692,432.9819,36.2491,9187.6542,54512.4852,15.0988,16.084,1.9607,31696.344,3.99,3.8141,0.9081
8,2021-07-09,10320.0,10307.529,1307724.1402,386.7962,407.5841,34.7732,9315.3741,54503.2111,14.2325,15.1492,1.8659,32818.4272,3.8196,3.6541,0.8685
9,2021-07-10,10424.0,10379.41,1306555.0324,366.8958,384.2845,33.2386,9439.2509,54494.0545,13.4172,14.2748,1.7705,33940.4793,3.667,3.5008,0.8313
10,2021-07-11,10537.0,10447.245,1305389.1048,347.7674,362.7257,31.6875,9559.2274,54485.0071,12.6513,13.4549,1.6767,35062.5003,3.5292,3.3552,0.7968
11,2021-07-12,10585.0,10511.317,1304226.1468,329.4613,342.6482,30.1492,9675.2707,54476.0615,11.9323,12.6848,1.5859,36184.4899,3.4036,3.2176,0.765
