,Date,ActiveCases,AL3_Siquijor_SC2 HSC 16.0%,S-AL3_Siquijor_SC2 HSC 16.0%,E-AL3_Siquijor_SC2 HSC 16.0%,IS-AL3_Siquijor_SC2 HSC 16.0%,IA-AL3_Siquijor_SC2 HSC 16.0%,R-AL3_Siquijor_SC2 HSC 16.0%,V1-AL3_Siquijor_SC2 HSC 16.0%,Ev1-AL3_Siquijor_SC2 HSC 16.0%,ISv1-AL3_Siquijor_SC2 HSC 16.0%,IAv1-AL3_Siquijor_SC2 HSC 16.0%,V2-AL3_Siquijor_SC2 HSC 16.0%,Ev2-AL3_Siquijor_SC2 HSC 16.0%,ISv2-AL3_Siquijor_SC2 HSC 16.0%,IAv2-AL3_Siquijor_SC2 HSC 16.0%
0,2021-07-01,12.0,12.0,94505.0,6.0,7.0,0.0,322.0,3899.0,0.0,0.0,0.0,1703.0,0.0,0.0,0.0
1,2021-07-02,11.0,11.9043,94423.9647,6.1569,6.5227,0.1775,323.5639,3898.7943,0.0433,0.0033,0.0009,1782.9187,0.0097,0.0006,0.0004
2,2021-07-03,7.0,11.7671,94342.9819,6.241,6.2008,0.2953,325.0998,3898.5903,0.0772,0.0116,0.0031,1862.8341,0.0177,0.0021,0.0012
3,2021-07-04,8.0,11.609,94262.0348,6.2808,5.9804,0.3729,326.611,3898.3873,0.1041,0.0231,0.0057,1942.7461,0.0244,0.0044,0.0023
4,2021-07-05,8.0,11.443,94181.1126,6.2938,5.8262,0.4237,328.0999,3898.1851,0.1254,0.0362,0.0083,2022.6546,0.0302,0.0072,0.0034
5,2021-07-06,6.0,11.277,94100.2087,6.2909,5.7156,0.4565,329.5687,3897.9834,0.1424,0.0501,0.0108,2102.5594,0.0352,0.0104,0.0046
6,2021-07-07,14.0,11.1155,94019.3188,6.2789,5.6338,0.4775,331.019,3897.782,0.156,0.064,0.013,2182.4607,0.0397,0.0137,0.0056
7,2021-07-08,15.0,10.9612,93938.4402,6.2619,5.571,0.4905,332.4524,3897.5809,0.1669,0.0774,0.015,2262.3584,0.0436,0.0171,0.0066
8,2021-07-09,16.0,10.8153,93857.5712,6.2422,5.5211,0.4984,333.8702,3897.38,0.1757,0.09,0.0166,2342.2525,0.0472,0.0205,0.0075
9,2021-07-10,15.0,10.6784,93776.7108,6.2212,5.4799,0.5029,335.2736,3897.1793,0.1827,0.1016,0.018,2422.1429,0.0506,0.0238,0.0084
10,2021-07-11,14.0,10.5504,93695.8584,6.1998,5.4449,0.5051,336.6635,3896.9786,0.1884,0.1121,0.0192,2502.0297,0.0536,0.0271,0.0092
11,2021-07-12,23.0,10.4311,93615.0135,6.1784,5.4141,0.506,338.041,3896.7781,0.1929,0.1215,0.0202,2581.9128,0.0565,0.0302,0.0099
12,2021-07-13,17.0,10.3199,93534.176,6.1572,5.3865,0.5059,339.4068,3896.5778,0.1965,0.1298,0.021,2661.7924,0.0592,0.0332,0.0105
13,2021-07-14,17.0,10.2163,93453.3458,6.1362,5.3611,0.5052,340.7618,3896.3775,0.1993,0.1371,0.0216,2741.6682,0.0618,0.0361,0.0112
14,2021-07-15,16.0,10.1198,93372.5227,6.1155,5.3375,0.5042,342.1065,3896.1774,0.2016,0.1435,0.0222,2821.5405,0.0643,0.0388,0.0118
15,2021-07-16,17.0,10.0298,93291.7068,6.095,5.3153,0.5029,343.4417,3895.9773,0.2033,0.149,0.0226,2901.4091,0.0667,0.0414,0.0123
16,2021-07-17,7.0,9.9457,93210.8981,6.0747,5.2941,0.5015,344.7679,3895.7774,0.2047,0.1538,0.0229,2981.2741,0.069,0.0439,0.0128
17,2021-07-18,11.0,9.8671,93130.0966,6.0545,5.2738,0.5,346.0857,3895.5776,0.2057,0.1578,0.0232,3061.1355,0.0712,0.0463,0.0134
18,2021-07-19,17.0,9.7934,93049.3023,6.0344,5.2541,0.4985,347.3953,3895.3779,0.2064,0.1612,0.0234,3140.9932,0.0734,0.0486,0.0138
19,2021-07-20,17.0,9.7242,92968.5152,6.0143,5.2349,0.4969,348.6974,3895.1783,0.2069,0.1641,0.0236,3220.8473,0.0756,0.0508,0.0143
20,2021-07-21,17.0,9.659,92887.7355,5.9942,5.2162,0.4953,349.9922,3894.9788,0.2072,0.1665,0.0237,3300.6978,0.0777,0.0529,0.0148
21,2021-07-22,17.0,9.5976,92806.9631,5.9741,5.1977,0.4936,351.2801,3894.7794,0.2073,0.1684,0.0238,3380.5447,0.0798,0.055,0.0152
22,2021-07-23,12.0,9.5394,92726.1981,5.9539,5.1796,0.492,352.5614,3894.5802,0.2074,0.17,0.0239,3460.388,0.0818,0.057,0.0157
23,2021-07-24,3.0,9.4843,92645.4405,5.9336,5.1616,0.4904,353.8364,3894.3811,0.2073,0.1713,0.0239,3540.2277,0.0838,0.0589,0.0161
24,2021-07-25,6.0,9.4319,92564.6903,5.9132,5.1437,0.4887,355.1052,3894.1821,0.2071,0.1724,0.0239,3620.0637,0.0858,0.0608,0.0165
25,2021-07-26,6.0,9.3819,92483.9476,5.8927,5.1259,0.4871,356.3682,3893.9832,0.2069,0.1732,0.0239,3699.8962,0.0877,0.0626,0.0169
26,2021-07-27,8.0,9.3341,92403.2125,5.872,5.1081,0.4854,357.6255,3893.7845,0.2066,0.1738,0.0239,3779.725,0.0897,0.0644,0.0173
27,2021-07-28,8.0,9.2883,92322.4849,5.8512,5.0904,0.4837,358.8773,3893.5859,0.2062,0.1742,0.0239,3859.5503,0.0916,0.0661,0.0177
28,2021-07-29,7.0,9.2442,92241.765,5.8302,5.0726,0.482,360.1238,3893.3874,0.2058,0.1745,0.0239,3939.372,0.0935,0.0679,0.0181
29,2021-07-30,8.0,9.2018,92161.0526,5.8091,5.0548,0.4803,361.365,3893.189,0.2053,0.1747,0.0238,4019.19,0.0953,0.0695,0.0185
30,2021-07-31,9.0,9.1607,92080.348,5.7878,5.0369,0.4786,362.6012,3892.9908,0.2049,0.1747,0.0238,4099.0045,0.0972,0.0712,0.0189
31,2021-08-01,11.0,9.1257,91998.4527,6.8427,5.105,0.4941,363.8351,3892.7583,0.2427,0.1776,0.0246,4178.7964,0.1194,0.074,0.0201
32,2021-08-02,9.0,9.1165,91740.5113,7.7689,5.3122,0.5326,365.0798,4015.5091,0.2774,0.1851,0.0265,4311.577,0.1399,0.079,0.0223
33,2021-08-03,13.0,9.1496,91482.4541,8.6391,5.6224,0.5834,366.3488,4138.2497,0.3126,0.1966,0.0291,4444.3492,0.1604,0.0859,0.0252
34,2021-08-04,14.0,9.2353,91224.2431,9.5009,6.0136,0.6413,367.6541,4260.9759,0.3501,0.2115,0.0323,4577.1109,0.1818,0.0944,0.0286
35,2021-08-05,18.0,9.3805,90965.8456,10.3854,6.4724,0.704,369.0069,4383.686,0.391,0.2299,0.0359,4709.8612,0.2048,0.1047,0.0323
36,2021-08-06,18.0,9.5899,90707.2339,11.3137,6.9917,0.7709,370.4181,4506.3781,0.4361,0.2515,0.04,4842.5992,0.2299,0.1165,0.0365
37,2021-08-07,25.0,9.867,90448.3823,12.3009,7.5682,0.8419,371.8986,4629.0508,0.4863,0.2766,0.0446,4975.324,0.2576,0.13,0.0411
38,2021-08-08,28.0,10.2149,90189.266,13.3588,8.2014,0.9176,373.4596,4751.7022,0.5421,0.3054,0.0497,5108.0347,0.2882,0.1453,0.0461
39,2021-08-09,38.0,10.6365,89929.8601,14.4975,8.8925,0.9984,375.1124,4874.3305,0.6043,0.338,0.0554,5240.7303,0.3221,0.1624,0.0517
40,2021-08-10,34.0,11.1348,89670.1384,15.7258,9.6441,1.0851,376.8691,4996.9337,0.6736,0.3749,0.0618,5373.4096,0.3596,0.1815,0.0579
41,2021-08-11,32.0,11.713,89410.0733,17.0526,10.4598,1.1783,378.7423,5119.5096,0.7505,0.4163,0.0689,5506.0716,0.4013,0.2029,0.0647
42,2021-08-12,30.0,12.3749,89149.6356,18.4865,11.344,1.2787,380.7452,5242.0559,0.8359,0.4628,0.0767,5638.7149,0.4475,0.2267,0.0723
43,2021-08-13,19.0,13.1246,88888.7938,20.0369,12.3016,1.387,382.8919,5364.5698,0.9307,0.5147,0.0855,5771.3382,0.4986,0.2531,0.0807
44,2021-08-14,17.0,13.9667,88627.514,21.7131,13.3381,1.5039,385.1973,5487.0486,1.0356,0.5725,0.0952,5903.9399,0.5552,0.2825,0.09
45,2021-08-15,7.0,14.9065,88365.7601,23.5254,14.4598,1.6302,387.6773,5609.4891,1.1519,0.6369,0.106,6036.5182,0.6179,0.3151,0.1003
46,2021-08-16,9.0,15.9499,88103.4927,25.4847,15.6733,1.7668,390.3491,5731.8878,1.2804,0.7085,0.1179,6169.0714,0.6871,0.3512,0.1116
47,2021-08-17,8.0,17.1033,87840.6697,27.6026,16.9858,1.9143,393.2309,5854.241,1.4225,0.7879,0.1311,6301.5974,0.7636,0.3912,0.1242
48,2021-08-18,8.0,18.3739,87577.2456,29.8917,18.4053,2.0738,396.3422,5976.5445,1.5794,0.876,0.1457,6434.0939,0.8481,0.4356,0.1381
49,2021-08-19,7.0,19.7697,87313.1715,32.3654,19.94,2.2462,399.7041,6098.7937,1.7527,0.9735,0.1619,6566.5586,0.9414,0.4846,0.1535
50,2021-08-20,6.0,21.2994,87048.3945,35.0381,21.5992,2.4325,403.3391,6220.9837,1.9438,1.0814,0.1797,6698.9886,1.0443,0.5388,0.1705
51,2021-08-21,6.0,22.9726,86782.8579,37.9254,23.3926,2.6337,407.2714,6343.1089,2.1546,1.2006,0.1994,6831.3811,1.1577,0.5986,0.1893
52,2021-08-22,7.0,24.7996,86516.5005,41.0438,25.3308,2.8512,411.5273,6465.1634,2.3869,1.3324,0.2212,6963.7328,1.2828,0.6648,0.2099
53,2021-08-23,9.0,26.7918,86249.2563,44.4114,27.4251,3.0861,416.1349,6587.1405,2.6428,1.4778,0.2451,7096.0402,1.4205,0.7378,0.2327
54,2021-08-24,8.0,28.9617,85981.0546,48.0472,29.6876,3.3399,421.1244,6709.0332,2.9245,1.6383,0.2716,7228.2994,1.5722,0.8183,0.2579
55,2021-08-25,12.0,31.3226,85711.8189,51.972,32.1315,3.6139,426.5286,6830.8333,3.2346,1.8152,0.3007,7360.506,1.7392,0.9071,0.2856
56,2021-08-26,18.0,33.8891,85441.4673,56.2078,34.7708,3.9097,432.3827,6952.5325,3.5757,2.0102,0.3327,7492.6556,1.9228,1.005,0.3161
57,2021-08-27,19.0,36.6771,85169.9116,60.7783,37.6206,4.229,438.7246,7074.1211,3.9508,2.225,0.368,7624.7429,2.1249,1.1128,0.3496
58,2021-08-28,18.0,39.7036,84897.0568,65.709,40.6971,4.5736,445.5953,7195.589,4.3631,2.4615,0.4068,7756.7625,2.3469,1.2315,0.3865
59,2021-08-29,25.0,42.9871,84622.8011,71.0271,44.0176,4.9454,453.039,7316.9248,4.816,2.7217,0.4494,7888.7082,2.5909,1.3622,0.4271
60,2021-08-30,23.0,46.5475,84347.035,76.7618,47.601,5.3465,461.1032,7438.1163,5.3134,3.008,0.4963,8020.5733,2.8589,1.5059,0.4718
61,2021-08-31,29.0,50.4066,84069.6409,82.9442,51.467,5.7791,469.8393,7559.15,5.8593,3.3226,0.5478,8152.3508,3.1531,1.664,0.5208
62,2021-09-01,31.0,54.5875,83790.4938,89.6078,55.6371,6.2456,479.3027,7680.007,6.4584,3.6684,0.6044,8284.0355,3.476,1.8378,0.5747
63,2021-09-02,36.0,63.0564,83568.1941,96.0964,56.5662,6.6493,489.5909,7606.7673,7.0375,3.8093,0.6617,8551.6328,3.8087,1.9097,0.6298
64,2021-09-03,33.0,71.1342,83345.2019,102.0493,58.2573,7.0833,500.7822,7533.49,7.5485,4.0023,0.7204,8819.1521,4.1425,2.013,0.6889
65,2021-09-04,24.0,79.0037,83121.2609,107.7941,60.4718,7.5265,512.9014,7460.1568,8.0204,4.2272,0.778,9086.5794,4.4896,2.1414,0.7512
66,2021-09-05,51.0,86.787,82896.1976,113.5249,63.0643,7.9727,525.9711,7386.7557,8.4711,4.4718,0.8338,9353.9034,4.8577,2.2914,0.8168
67,2021-09-06,39.0,94.5687,82669.8862,119.3578,65.9469,8.4224,540.0141,7313.2786,8.9118,4.7284,0.8877,9621.1145,5.2516,2.4608,0.8862
68,2021-09-07,46.0,102.4101,82442.2283,125.3633,69.0674,8.8784,555.0542,7239.7197,9.3495,4.9928,0.9403,9888.2039,5.6748,2.6486,0.9601
69,2021-09-08,52.0,110.3582,82213.1406,131.5854,72.3956,9.3442,571.1176,7166.0743,9.789,5.2627,0.9919,10155.1629,6.1298,2.8547,1.039
70,2021-09-09,65.0,118.4507,81982.5478,138.0531,75.9151,9.8229,588.2327,7092.3386,10.2335,5.5369,1.043,10421.983,6.6185,3.0792,1.1234
71,2021-09-10,68.0,126.7196,81750.3785,144.7866,79.6179,10.3172,606.4304,7018.5091,10.685,5.815,1.0941,10688.6555,7.1427,3.3225,1.2139
72,2021-09-11,55.0,135.1933,81516.5625,151.8013,83.5011,10.8293,625.7444,6944.5828,11.1453,6.0972,1.1455,10955.1712,7.7044,3.5854,1.3109
73,2021-09-12,42.0,143.8977,81281.0295,159.11,87.5652,11.361,646.2108,6870.5564,11.6155,6.3837,1.1973,11221.5207,8.3051,3.8686,1.4148
74,2021-09-13,68.0,152.8572,81043.7084,166.7241,91.8126,11.9138,667.8686,6796.427,12.0967,6.6751,1.25,11487.6942,8.9469,4.1731,1.5261
75,2021-09-14,67.0,162.095,80804.5266,174.6539,96.2472,12.4889,690.7593,6722.1916,12.5894,6.9718,1.3036,11753.6813,9.6317,4.4998,1.645
76,2021-09-15,68.0,171.6335,80563.4098,182.9098,100.8737,13.0876,714.927,6647.8472,13.0944,7.2744,1.3583,12019.4712,10.3614,4.8497,1.772
77,2021-09-16,95.0,181.4946,80320.282,191.5015,105.6971,13.7106,740.4184,6573.3909,13.612,7.5833,1.4142,12285.0524,11.1384,5.224,1.9075
78,2021-09-17,162.0,191.6998,80075.065,200.4392,110.723,14.359,767.2829,6498.8198,14.1425,7.8989,1.4714,12550.4132,11.9648,5.6238,2.052
79,2021-09-18,233.0,202.2703,79827.679,209.7326,115.9571,15.0336,795.5723,6424.131,14.6864,8.2217,1.53,12815.5408,12.8431,6.0503,2.2058
80,2021-09-19,214.0,213.2268,79578.042,219.3915,121.4056,15.7353,825.3409,6349.3216,15.2438,8.5521,1.5899,13080.4223,13.7757,6.5048,2.3695
