,Date,CumulativeSumAdmitted,AL3_Siquijor_SC2 HSC 16.0%,S-AL3_Siquijor_SC2 HSC 16.0%,E-AL3_Siquijor_SC2 HSC 16.0%,IS-AL3_Siquijor_SC2 HSC 16.0%,IA-AL3_Siquijor_SC2 HSC 16.0%,R-AL3_Siquijor_SC2 HSC 16.0%,V1-AL3_Siquijor_SC2 HSC 16.0%,Ev1-AL3_Siquijor_SC2 HSC 16.0%,ISv1-AL3_Siquijor_SC2 HSC 16.0%,IAv1-AL3_Siquijor_SC2 HSC 16.0%,V2-AL3_Siquijor_SC2 HSC 16.0%,Ev2-AL3_Siquijor_SC2 HSC 16.0%,ISv2-AL3_Siquijor_SC2 HSC 16.0%,IAv2-AL3_Siquijor_SC2 HSC 16.0%
0,2021-07-01,235.0,235.0,94593.0,13.0,14.0,1.0,219.0,3899.0,1.0,0.0,0.0,1703.0,0.0,0.0,0.0
1,2021-07-02,235.0,236.9696,94511.2753,12.5096,13.4924,1.0178,221.1817,3898.7705,0.8836,0.1345,0.0369,1782.9134,0.0145,0.0009,0.0006
2,2021-07-03,235.0,238.8878,94429.6023,12.0642,13.0155,1.0157,223.4078,3898.5426,0.7868,0.2369,0.0571,1862.8233,0.0267,0.0032,0.0018
3,2021-07-04,239.0,240.7537,94347.9848,11.6521,12.5646,1.0019,225.6659,3898.3165,0.7059,0.3118,0.0669,1942.7296,0.0369,0.0067,0.0035
4,2021-07-05,239.0,242.5671,94266.4252,11.2653,12.1362,0.9813,227.9449,3898.0923,0.6381,0.3642,0.0705,2022.6324,0.0455,0.011,0.0052
5,2021-07-06,239.0,244.3278,94184.9245,10.8983,11.7278,0.9571,230.2354,3897.8699,0.5808,0.3985,0.0704,2102.5319,0.0527,0.0158,0.0069
6,2021-07-07,249.0,246.0362,94103.4828,10.5472,11.3375,0.931,232.5291,3897.6495,0.5322,0.4186,0.0683,2182.4279,0.0587,0.0209,0.0084
7,2021-07-08,250.0,247.6929,94022.0999,10.2096,10.9634,0.9041,234.819,3897.4309,0.4907,0.4279,0.0652,2262.3206,0.0637,0.026,0.0098
8,2021-07-09,251.0,249.2987,93940.775,9.8836,10.6042,0.877,237.0987,3897.2142,0.455,0.4292,0.0616,2342.21,0.0679,0.031,0.0111
9,2021-07-10,251.0,250.8547,93859.5069,9.5681,10.2587,0.8502,239.3628,3896.9994,0.4242,0.4246,0.0579,2422.0962,0.0714,0.0358,0.0122
10,2021-07-11,253.0,252.3619,93778.2947,9.2623,9.9258,0.8238,241.6067,3896.7863,0.3973,0.4159,0.0544,2501.979,0.0742,0.0403,0.0131
11,2021-07-12,262.0,253.8216,93697.1368,8.9657,9.6047,0.798,243.8261,3896.575,0.3737,0.4044,0.051,2581.8587,0.0765,0.0444,0.0139
12,2021-07-13,268.0,255.235,93616.0319,8.6778,9.2945,0.7728,246.0175,3896.3654,0.3529,0.3911,0.048,2661.7351,0.0784,0.0482,0.0146
13,2021-07-14,268.0,256.6034,93534.9786,8.3983,8.9947,0.7482,248.178,3896.1575,0.3343,0.3769,0.0452,2741.6083,0.0799,0.0517,0.0151
14,2021-07-15,268.0,257.928,93453.9754,8.1271,8.7046,0.7243,250.3049,3895.9512,0.3176,0.3621,0.0426,2821.4784,0.0811,0.0548,0.0156
15,2021-07-16,269.0,259.2102,93373.021,7.8638,8.4239,0.7011,252.3961,3895.7464,0.3026,0.3474,0.0403,2901.3453,0.082,0.0575,0.016
16,2021-07-17,269.0,260.4511,93292.1139,7.6084,8.152,0.6785,254.4496,3895.5432,0.2889,0.3328,0.0382,2981.209,0.0827,0.0599,0.0163
17,2021-07-18,276.0,261.6521,93211.2528,7.3606,7.8886,0.6566,256.4641,3895.3415,0.2764,0.3187,0.0364,3061.0696,0.0831,0.0619,0.0165
18,2021-07-19,283.0,262.8143,93130.4363,7.1203,7.6333,0.6353,258.4383,3895.1411,0.2648,0.305,0.0346,3140.9271,0.0834,0.0637,0.0167
19,2021-07-20,285.0,263.939,93049.6632,6.8872,7.386,0.6147,260.3713,3894.9422,0.2541,0.292,0.0331,3220.7815,0.0835,0.0652,0.0168
20,2021-07-21,300.0,265.0272,92968.932,6.6613,7.1462,0.5946,262.2622,3894.7446,0.2441,0.2797,0.0316,3300.6328,0.0834,0.0664,0.0169
21,2021-07-22,300.0,266.0802,92888.2417,6.4424,6.9138,0.5752,264.1106,3894.5483,0.2348,0.268,0.0303,3380.481,0.0833,0.0674,0.017
22,2021-07-23,300.0,267.0989,92807.591,6.2302,6.6886,0.5564,265.9161,3894.3533,0.226,0.2569,0.0291,3460.3261,0.083,0.0682,0.017
23,2021-07-24,301.0,268.0846,92726.9787,6.0247,6.4703,0.5381,267.6785,3894.1595,0.2177,0.2464,0.0279,3540.1682,0.0826,0.0689,0.017
24,2021-07-25,305.0,269.0382,92646.4037,5.8255,6.2588,0.5204,269.3978,3893.9668,0.2099,0.2365,0.0268,3620.0072,0.0822,0.0693,0.0169
25,2021-07-26,305.0,269.9607,92565.865,5.6327,6.0538,0.5033,271.0741,3893.7754,0.2024,0.2271,0.0258,3699.8431,0.0816,0.0696,0.0169
26,2021-07-27,307.0,270.8531,92485.3613,5.4459,5.8552,0.4866,272.7075,3893.585,0.1953,0.2183,0.0249,3779.676,0.081,0.0698,0.0168
27,2021-07-28,307.0,271.7163,92404.8918,5.2651,5.6627,0.4705,274.2984,3893.3957,0.1886,0.2099,0.024,3859.5058,0.0804,0.0698,0.0167
28,2021-07-29,307.0,272.5513,92324.4553,5.09,5.4762,0.455,275.8471,3893.2074,0.1821,0.2019,0.0231,3939.3326,0.0796,0.0698,0.0166
29,2021-07-30,308.0,273.359,92244.051,4.9205,5.2956,0.4399,277.354,3893.0202,0.1758,0.1944,0.0223,4019.1563,0.0789,0.0696,0.0165
30,2021-07-31,309.0,274.1402,92163.6779,4.7564,5.1207,0.4253,278.8197,3892.8339,0.1699,0.1873,0.0215,4098.977,0.0781,0.0693,0.0163
31,2021-08-01,311.0,274.9016,92081.8028,5.9849,5.0632,0.4335,280.2484,3892.5953,0.2135,0.1842,0.0218,4178.7663,0.1035,0.0705,0.0172
32,2021-08-02,315.0,275.6699,91823.9129,7.0132,5.1887,0.4712,281.6572,4015.3507,0.2515,0.1875,0.0236,4311.5491,0.1258,0.0744,0.0194
33,2021-08-03,319.0,276.4687,91565.938,7.9424,5.4472,0.5238,283.0634,4138.0946,0.2884,0.196,0.0263,4444.323,0.1472,0.0806,0.0224
34,2021-08-04,320.0,277.3157,91307.8253,8.8382,5.807,0.5843,284.4819,4260.8249,0.3266,0.2088,0.0295,4577.0869,0.169,0.0889,0.0258
35,2021-08-05,325.0,278.2246,91049.5348,9.7428,6.249,0.6495,285.9265,4383.5394,0.3676,0.2256,0.0332,4709.8396,0.1922,0.0989,0.0297
36,2021-08-06,325.0,279.2071,90791.0333,10.6845,6.7622,0.7186,287.41,4506.2364,0.4126,0.2463,0.0373,4842.5802,0.2172,0.1107,0.0339
37,2021-08-07,335.0,280.2737,90532.2916,11.6832,7.3412,0.7916,288.9452,4628.9141,0.4626,0.2707,0.0419,4975.3077,0.2448,0.1244,0.0385
38,2021-08-08,340.0,281.4342,90273.2816,12.7538,7.9841,0.869,290.5447,4751.5704,0.5183,0.2992,0.0471,5108.021,0.2753,0.1398,0.0436
39,2021-08-09,352.0,282.6989,90013.9754,13.9088,8.6916,0.9516,292.2216,4874.2035,0.5804,0.3319,0.0528,5240.7192,0.3092,0.1573,0.0492
40,2021-08-10,352.0,284.0778,89754.3442,15.1588,9.4664,1.0401,293.9892,4996.8113,0.6499,0.3691,0.0591,5373.401,0.3469,0.1769,0.0554
41,2021-08-11,353.0,285.5821,89494.3576,16.5144,10.3122,1.1354,295.8616,5119.3913,0.7274,0.4112,0.0662,5506.0652,0.3889,0.1988,0.0622
42,2021-08-12,353.0,287.2231,89233.9831,17.9858,11.2339,1.2383,297.8534,5241.941,0.8139,0.4587,0.0742,5638.7104,0.4356,0.2233,0.0699
43,2021-08-13,353.0,289.0136,88973.1859,19.5836,12.2372,1.3497,299.9801,5364.4576,0.9102,0.5121,0.083,5771.3351,0.4876,0.2507,0.0783
44,2021-08-14,353.0,290.9668,88711.9285,21.3191,13.3286,1.4704,302.2581,5486.938,1.0174,0.572,0.0929,5903.9376,0.5455,0.2812,0.0878
45,2021-08-15,356.0,293.0975,88450.1702,23.2041,14.5153,1.6014,304.705,5609.3788,1.1367,0.639,0.1039,6036.5161,0.6097,0.3152,0.0983
46,2021-08-16,358.0,295.4215,88187.8672,25.2514,15.8053,1.7435,307.3394,5731.7762,1.2693,0.7139,0.1161,6169.0685,0.6811,0.353,0.1099
47,2021-08-17,358.0,297.9561,87924.9718,27.4747,17.2071,1.8978,310.1813,5854.1259,1.4165,0.7974,0.1297,6301.5927,0.7604,0.3951,0.1229
48,2021-08-18,359.0,300.7199,87661.4327,29.8888,18.7303,2.0654,313.2521,5976.4235,1.5799,0.8904,0.1448,6434.086,0.8484,0.4419,0.1373
49,2021-08-19,360.0,303.7331,87397.1941,32.5098,20.3849,2.2473,316.5749,6098.6639,1.7612,0.9939,0.1616,6566.5459,0.946,0.494,0.1532
50,2021-08-20,362.0,307.018,87132.1957,35.3548,22.182,2.4448,320.1746,6220.8415,1.9621,1.109,0.1802,6698.9693,1.0541,0.5517,0.171
51,2021-08-21,362.0,310.5984,86866.3724,38.4425,24.1335,2.6592,324.0779,6342.9501,2.1847,1.2368,0.2009,6831.3528,1.1739,0.6159,0.1906
52,2021-08-22,364.0,314.5003,86599.6535,41.793,26.2525,2.8918,328.3138,6464.9829,2.4312,1.3788,0.2238,6963.6929,1.3066,0.6871,0.2124
53,2021-08-23,366.0,318.752,86331.9627,45.4279,28.5527,3.1444,332.9133,6586.9326,2.7041,1.5362,0.2491,7095.9855,1.4535,0.7661,0.2365
54,2021-08-24,367.0,323.384,86063.2173,49.3706,31.0494,3.4184,337.9104,6708.7909,3.0059,1.7107,0.2772,7228.2262,1.616,0.8536,0.2633
55,2021-08-25,367.0,328.4298,85793.3283,53.6464,33.7588,3.7156,343.3415,6830.5488,3.3397,1.9041,0.3083,7360.4101,1.7957,0.9505,0.2929
56,2021-08-26,376.0,333.9252,85522.1991,58.2825,36.6984,4.0381,349.246,6952.1965,3.7086,2.1182,0.3427,7492.5319,1.9943,1.0579,0.3256
57,2021-08-27,377.0,339.9096,85249.7254,63.3081,39.8873,4.3877,355.6667,7073.7229,4.1161,2.3552,0.3808,7624.5858,2.2138,1.1767,0.3618
58,2021-08-28,378.0,346.4253,84975.7948,68.7548,43.3459,4.7668,362.6499,7195.1162,4.5662,2.6174,0.4228,7756.5652,2.4563,1.3082,0.4018
59,2021-08-29,386.0,353.5183,84700.2857,74.6567,47.0963,5.1778,370.2457,7316.3633,5.063,2.9072,0.4693,7888.4631,2.7239,1.4536,0.446
60,2021-08-30,387.0,361.2386,84423.0669,81.0502,51.1621,5.6231,378.5084,7437.4497,5.6111,3.2276,0.5206,8020.2716,3.0192,1.6143,0.4949
61,2021-08-31,398.0,369.6403,84143.997,87.9748,55.5692,6.1057,387.4966,7558.3596,6.2156,3.5814,0.5772,8151.9824,3.345,1.7919,0.5488
62,2021-09-01,398.0,378.7819,83862.9231,95.4728,60.345,6.6285,397.2742,7679.0749,6.882,3.9721,0.6397,8283.5864,3.7042,1.988,0.6083
63,2021-09-02,402.0,391.0175,83638.0822,103.2128,63.5384,7.1415,407.9307,7605.642,7.5606,4.2702,0.7059,8551.0772,4.0927,2.1388,0.6718
64,2021-09-03,406.0,403.9751,83411.6461,111.0074,67.3115,7.6954,419.5494,7532.1039,8.2142,4.6121,0.7755,8818.4469,4.5113,2.3173,0.7417
65,2021-09-04,407.0,417.7604,83183.395,119.0451,71.5699,8.2802,432.1874,7458.4461,8.8606,4.9867,0.8467,9085.6803,4.9679,2.5229,0.8182
66,2021-09-05,440.0,432.4645,82953.1425,127.4506,76.2609,8.8938,445.903,7384.6566,9.5121,5.3873,0.9191,9352.7631,5.4687,2.7557,0.9018
67,2021-09-06,440.0,448.1708,82720.7195,136.3103,81.3583,9.5381,460.7572,7310.725,10.1771,5.8097,0.9926,9619.6809,6.0186,3.0169,0.9934
68,2021-09-07,445.0,464.9599,82485.9637,145.6889,86.8531,10.2163,476.815,7236.6417,10.8618,6.2518,1.0675,9886.4188,6.6223,3.308,1.0939
69,2021-09-08,449.0,482.9118,82248.7143,155.6384,92.7479,10.932,494.1457,7162.3975,11.5711,6.7127,1.1442,10152.9612,7.2842,3.6309,1.204
70,2021-09-09,461.0,502.1084,82008.8073,166.204,99.0526,11.6892,512.8236,7087.9833,12.3087,7.1925,1.2232,10419.2915,8.0087,3.9878,1.3248
71,2021-09-10,471.0,522.6341,81766.0734,177.4275,105.7824,12.4914,532.9284,7013.3899,13.078,7.6918,1.3048,10685.3921,8.8006,4.3811,1.4571
72,2021-09-11,472.0,544.5776,81520.3364,189.3496,112.9562,13.3423,554.5451,6938.6077,13.8817,8.2116,1.3894,10951.2441,9.6649,4.8134,1.6018
73,2021-09-12,473.0,568.0314,81271.4122,202.0108,120.5955,14.2453,577.7651,6863.6272,14.7224,8.7531,1.4774,11216.827,10.6068,5.2878,1.7599
74,2021-09-13,504.0,593.0935,81019.1078,215.4522,128.7241,15.2037,602.6854,6788.4383,15.6024,9.3178,1.5693,11482.1193,11.632,5.8072,1.9324
75,2021-09-14,505.0,619.8668,80763.2209,229.7161,137.3677,16.221,629.4098,6713.0307,16.524,9.9072,1.6651,11747.0973,12.7467,6.3751,2.1204
76,2021-09-15,505.0,648.4601,80503.5393,244.846,146.5535,17.3006,658.0486,6637.3938,17.4893,10.5228,1.7653,12011.7361,13.9575,6.995,2.3251
77,2021-09-16,533.0,678.988,80239.8405,260.8866,156.31,18.446,688.7193,6561.5168,18.5001,11.1662,1.8702,12276.0089,15.2712,7.6708,2.5477
78,2021-09-17,619.0,711.5716,79971.8915,277.8844,166.6672,19.6606,721.5463,6485.3884,19.5585,11.839,1.9799,12539.8867,16.6954,8.4065,2.7895
79,2021-09-18,701.0,746.3383,79699.4487,295.8872,177.6565,20.9483,756.6618,6408.9971,20.6663,12.5426,2.0947,12803.3389,18.2381,9.2066,3.0518
80,2021-09-19,703.0,783.4227,79422.2571,314.9439,189.3103,22.3126,794.2057,6332.331,21.8252,13.2786,2.2149,13066.3324,19.9076,10.0757,3.3363
81,2021-09-20,796.0,822.966,79140.0506,335.1051,201.6624,23.7575,834.3263,6255.378,23.037,14.0485,2.3406,13328.832,21.7129,11.0189,3.6444
82,2021-09-21,805.0,865.1173,78852.5517,356.4224,214.7477,25.2869,877.18,6178.1259,24.3033,14.8538,2.4721,13590.8003,23.6634,12.0415,3.9779
83,2021-09-22,845.0,910.0329,78559.4713,378.9486,228.602,26.9049,922.9322,6100.5621,25.6255,15.6957,2.6096,13852.1971,25.7693,13.1491,4.3386
84,2021-09-23,847.0,957.8771,78260.5089,402.7374,243.2623,28.6155,971.7572,6022.6738,27.0051,16.5757,2.7532,14112.9799,28.041,14.3479,4.7283
85,2021-09-24,848.0,1008.8225,77955.3523,427.843,258.7666,30.423,1023.839,5944.4482,28.4435,17.4951,2.9032,14373.1032,30.4896,15.644,5.149
86,2021-09-25,970.0,1063.0496,77643.6778,454.3206,275.1536,32.3318,1079.3709,5865.8721,29.9417,18.455,3.0597,14632.5188,33.1269,17.0444,5.6029
87,2021-09-26,1001.0,1120.7477,77325.1506,482.2252,292.4629,34.3461,1138.5563,5786.9325,31.5008,19.4566,3.2228,14891.1756,35.9651,18.5561,6.0921
88,2021-09-27,1172.0,1182.1148,76999.4247,511.6122,310.7344,36.4704,1201.609,5707.6164,33.1217,20.5009,3.3927,15149.0193,39.017,20.1866,6.6191
89,2021-09-28,1276.0,1247.3574,76666.1436,542.5363,330.009,38.709,1268.7533,5627.9105,34.805,21.589,3.5696,15405.9925,42.296,21.9439,7.1861
90,2021-09-29,1279.0,1316.6913,76324.9403,575.0519,350.3273,41.0665,1340.224,5547.8019,36.5513,22.7217,3.7534,15662.0345,45.816,23.8362,7.7959
91,2021-09-30,1388.0,1390.3413,75975.4388,609.2114,371.7304,43.5471,1416.2674,5467.2779,38.3606,23.8997,3.9443,15917.0812,49.5915,25.8723,8.4511
92,2021-10-01,1601.0,1468.0011,75724.1474,548.0792,386.6086,44.6122,1496.8689,5392.7778,34.381,24.6913,4.0167,16180.5874,44.9931,27.56,8.8278
93,2021-10-02,1625.0,1547.5306,75490.8381,498.9332,390.2738,43.7152,1581.0233,5389.2173,31.1661,24.8232,3.9245,16353.9276,41.3836,28.5079,8.7949
94,2021-10-03,1768.0,1627.0102,75257.8912,458.3639,386.2517,41.8533,1667.6695,5385.6821,28.5212,24.4948,3.7499,16527.2084,38.4604,28.874,8.5492
95,2021-10-04,1855.0,1705.1424,75026.1947,424.0145,377.1004,39.5833,1755.9318,5382.2139,26.2947,23.8563,3.5403,16700.5288,36.024,28.8005,8.2035
96,2021-10-05,1872.0,1781.0766,74796.3042,394.2581,364.6521,37.2059,1845.0818,5378.8466,24.38,23.0183,3.3217,16873.9438,33.9366,28.4064,7.8204
97,2021-10-06,1875.0,1854.2795,74568.5461,367.9688,350.2033,34.8746,1934.5097,5375.6007,22.7024,22.0607,3.1078,17047.4887,32.1031,27.7867,7.4332
98,2021-10-07,1876.0,1924.4409,74343.0923,344.3639,334.6607,32.6605,2023.7034,5372.487,21.2091,21.0403,2.9052,17221.1854,30.4578,27.0145,7.0584
99,2021-10-08,1985.0,1991.4048,74120.0116,322.8956,318.65,30.5907,2112.2321,5369.5106,19.8622,19.9965,2.7163,17395.0463,28.9555,26.1445,6.703
100,2021-10-09,2054.0,2055.1212,73899.305,303.1763,302.5967,28.6689,2199.7345,5366.6721,18.6347,18.9565,2.5417,17569.077,27.5652,25.217,6.3692
101,2021-10-10,2103.0,2115.6109,73680.9296,284.9284,286.7843,26.8882,2285.9079,5363.9696,17.5065,17.9379,2.3807,17743.2793,26.265,24.2611,6.0564
102,2021-10-11,2107.0,2172.9419,73464.8151,267.949,271.3972,25.2374,2370.5011,5361.3994,16.4632,16.9523,2.2323,17917.6518,25.0401,23.2972,5.7632
103,2021-10-12,2265.0,2227.2115,73250.8746,252.0867,256.5501,23.7041,2453.3068,5358.957,15.4934,16.0064,2.0952,18092.191,23.8797,22.3396,5.4876
104,2021-10-13,2268.0,2278.5356,73039.0127,237.2259,242.3099,22.2768,2534.1565,5356.6369,14.5887,15.1039,1.9683,18266.8924,22.7764,21.3979,5.2279
105,2021-10-14,2271.0,2327.0396,72829.1296,223.2751,228.7108,20.945,2612.9153,5354.4336,13.7423,14.2464,1.8505,18441.7507,21.7245,20.4785,4.9823
106,2021-10-15,2272.0,2372.8536,72621.125,210.1603,215.7647,19.6996,2689.4776,5352.3416,12.9487,13.434,1.7408,18616.7602,20.72,19.5856,4.7495
107,2021-10-16,2347.0,2416.1084,72414.8998,197.8195,203.4686,18.5329,2763.7636,5350.3552,12.2035,12.6658,1.6385,18791.9148,19.7598,18.7214,4.5281
108,2021-10-17,2407.0,2456.9332,72210.3578,186.1996,191.8097,17.4382,2835.7162,5348.4688,11.5027,11.9403,1.5428,18967.2086,18.8412,17.8873,4.3174
109,2021-10-18,2422.0,2495.4537,72007.406,175.2541,180.7693,16.4099,2905.2976,5346.6773,10.8433,11.2558,1.4532,19142.6354,17.9622,17.0839,4.1164
110,2021-10-19,,2531.7919,71805.9554,164.9411,170.3246,15.443,2972.4871,5344.9756,10.2222,10.6103,1.3692,19318.1894,17.121,16.3111,3.9245
111,2021-10-20,,2566.1423,71591.1281,168.6209,161.528,14.7503,3037.3181,5342.4293,10.4787,10.065,1.3086,19492.1799,17.8422,15.6589,3.8
112,2021-10-21,,2596.342,71377.8167,170.2818,157.0028,14.4227,3099.9501,5339.9722,10.6089,9.7831,1.2775,19666.2863,18.3228,15.393,3.763
113,2021-10-22,,2625.8194,71165.4415,170.8046,153.4987,14.2414,3160.5578,5337.568,10.6677,9.5652,1.2605,19840.445,18.6628,15.2195,3.7666
