scenariotitle,hsc,starthsc,projstart,projend,psgcInput,fitTo,scalelevel,dateadj,lambdaValues,lambdaDates,lambda,kappa,compliance,allcompartments,vax1,vax2,jvax
AL4_Negros oriental_SC1,0.16,2021-10-20,2021-07-01,2021-12-31,74600000,Active,0,FALSE,0.5004104232;0;0;0.5004104232;0.5004104232,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,1119;3588;1239;2509,1124;1865;2247;2509,0;0;1532;0
AL4_Negros oriental_SC2,0.16,2021-10-20,2021-07-01,2021-12-31,74600000,Active,0,FALSE,0.5004104232;0;0;0.5004104232;0.2924191193,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,1119;3588;1239;2509;5017.790046,1124;1865;2247;2509;5017.790046,0;0;1532;0;0
AL4_Negros oriental_SC3,0.16,2021-10-20,2021-07-01,2021-12-31,74600000,Active,0,FALSE,0.5004104232;0;0;0.5004104232;0.002106466882,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,1119;3588;1239;2509;7526.685069,1124;1865;2247;2509;7526.685069,0;0;1532;0;0
AL4_Negros oriental_SC1,0.16,2021-10-20,2021-07-01,2021-12-31,74600000,Cumulative,0,FALSE,0.593561729;0;0;0.3853266189;0.3853266189,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,1119;3588;1239;2509,1124;1865;2247;2509,0;0;1532;0
AL4_Negros oriental_SC2,0.16,2021-10-20,2021-07-01,2021-12-31,74600000,Cumulative,0,FALSE,0.593561729;0;0;0.3853266189;0.2207039287,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,1119;3588;1239;2509;5017.790046,1124;1865;2247;2509;5017.790046,0;0;1532;0;0
AL4_Negros oriental_SC3,0.16,2021-10-20,2021-07-01,2021-12-31,74600000,Cumulative,0,FALSE,0.593561729;0;0;0.3853266189;0,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,1119;3588;1239;2509;7526.685069,1124;1865;2247;2509;7526.685069,0;0;1532;0;0
AL3_Siquijor_SC1,0.16,2021-10-20,2021-07-01,2021-12-31,76100000,Active,0,FALSE,0.5082247523;0;0;0.5082247523;0.5082247523,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,80;256;89;179,80;133;160;179,0;0;109;0
AL3_Siquijor_SC2,0.16,2021-10-20,2021-07-01,2021-12-31,76100000,Active,0,FALSE,0.5082247523;0;0;0.5082247523;0.2994568491,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,80;256;89;179;358.4434793,80;133;160;179;358.4434793,0;0;109;0;0
AL3_Siquijor_SC3,0.16,2021-10-20,2021-07-01,2021-12-31,76100000,Active,0,FALSE,0.5082247523;0;0;0.5082247523;0.005625331775,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,80;256;89;179;537.665219,80;133;160;179;537.665219,0;0;109;0;0
AL3_Siquijor_SC1,0.16,2021-10-20,2021-07-01,2021-12-31,76100000,Cumulative,0,FALSE,0.6605322252;0;0;0.6605322252;0.6605322252,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,80;256;89;179,80;133;160;179,0;0;109;0
AL3_Siquijor_SC2,0.16,2021-10-20,2021-07-01,2021-12-31,76100000,Cumulative,0,FALSE,0.6605322252;0;0;0.6605322252;0.4366277855,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,80;256;89;179;358.4434793,80;133;160;179;358.4434793,0;0;109;0;0
AL3_Siquijor_SC3,0.16,2021-10-20,2021-07-01,2021-12-31,76100000,Cumulative,0,FALSE,0.6605322252;0;0;0.6605322252;0.07421079996,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-12-31,0,0,0,1,80;256;89;179;537.665219,80;133;160;179;537.665219,0;0;109;0;0
AL3_NCR-National capital region_SC1,0.18,2021-10-20,2021-07-01,2021-12-31,130000000,Active,0,FALSE,0.04518632215;0.0402311138;0.3008079383;0.6050549548;0.6050549548;0.3848651755,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-10-31;2021-12-31,0,0,0,1,38903;101427;20443;40570;2661,70645;30199;86059;39861;6284,5715;3229;86;253;0
AL3_NCR-National capital region_SC2,0.18,2021-10-20,2021-07-01,2021-12-31,130000000,Active,0,FALSE,0.04518632215;0.0402311138;0.3008079383;0.6050549548;0.6050549548;0,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-10-31;2021-12-31,0,0,0,1,38903;101427;20443;40570;2661,70645;30199;86059;39861;6284,5715;3229;86;253;0
AL3_NCR-National capital region_SC1,0.18,2021-10-20,2021-07-01,2021-12-31,130000000,Cumulative,0,FALSE,0.2752658809;0;0.1958834241;0.5473809577;0.5473809577;0.3297284788,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-11-30;2021-12-31,0,0,0,1,38903;101427;21844;14322,70645;30199;98968;17950,5715;3229;108;0
AL3_NCR-Nationals capital region_SC2,0.18,2021-10-20,2021-07-01,2021-12-31,130000000,Cumulative,0,FALSE,0.2752658809;0;0.1958834241;0.5473809577;0.5473809577;0,2021-07-31;2021-08-31;2021-09-30;2021-10-19;2021-11-30;2021-12-31,0,0,0,1,38903;101427;21844;14322,70645;30199;98968;17950,5715;3229;108;0
