scenariotitle,hsc,starthsc,projstart,projend,psgcInput,fitTo,scalelevel,dateadj,lambdaValues,lambdaDates,lambda,kappa,compliance,allcompartments,vax1,vax2,vaxDate
Scenario 1 (GEEEEE),continue,7/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2437480189;0.21623;0.18449;0.13374;0.06441;0.46098;0.42492;0.39902;0.38302;0.37405,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0038;0.0038,0.029;0.029,2021-07-31;2021-09-30
Scenario 2 (GEEEEM),continue,7/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2437480189;0.21623;0.18449;0.13374;0.06441;0.46098;0.42492;0.39902;0.38302;0.00000,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0038;0.0038,0.029;0.029,2021-07-31;2021-09-30
Scenario 3 (GEEEMM),continue,7/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2437480189;0.21623;0.18449;0.13374;0.06441;0.46098;0.42492;0.39902;0.00295;0.00000,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0038;0.0038,0.029;0.029,2021-07-31;2021-09-30
Scenario 4 (GEEMMM),continue,7/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2437480189;0.21623;0.18449;0.13374;0.06441;0.46098;0.42492;0.02880;0.00295;0.00000,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0038;0.0038,0.029;0.029,2021-07-31;2021-09-30
Scenario 5 (GEEMMG),,7/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2437480189;0.21623;0.18449;0.13374;0.06441;0.46098;0.42492;0.02880;0.00295;0.00000,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0038;0.0038,0.029;0.029,2021-07-31;2021-09-30
Scenario 1 (GEEEEE),continue,7/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2437480189;0.21623;0.18449;0.13374;0.06441;0.46098;0.42492;0.39902;0.38302;0.37405,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0038;0.0228,0.029;0.029,2021-07-31;2021-09-30
Scenario 2 (GEEEEM),continue,7/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2437480189;0.21623;0.18449;0.13374;0.06441;0.46098;0.42492;0.39902;0.38302;0.00000,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0038;0.0228,0.029;0.029,2021-07-31;2021-09-30
Scenario 3 (GEEEMM),continue,7/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2437480189;0.21623;0.18449;0.13374;0.06441;0.46098;0.42492;0.39902;0.00295;0.00000,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0038;0.0228,0.029;0.029,2021-07-31;2021-09-30
Scenario 4 (GEEMMM),continue,7/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2437480189;0.21623;0.18449;0.13374;0.06441;0.46098;0.42492;0.02880;0.00295;0.00000,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0038;0.0228,0.029;0.029,2021-07-31;2021-09-30
Scenario 5 (GEEMMG),,7/1/21,7/1/21,9/1/21,130000000,Cumulative,0,FALSE,0.2437480189;0.21623;0.18449;0.13374;0.06441;0.46098;0.42492;0.02880;0.00295;0.00000,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0038;0.0228,0.029;0.029,2021-07-31;2021-09-30
