scenariotitle,hsc,starthsc,projstart,projend,psgcInput,fitTo,scalelevel,dateadj,lambdaValues,lambdaDates,lambda,kappa,compliance,allcompartments,vax1,vax2,jvax
NCR,,9/1/21,7/1/21,10/1/21,130000000,Cumulative,0,FALSE,0.275827316;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-01;2021-09-08;2021-09-15;2021-09-22;2021-09-29;2021-10-06;2021-10-13;2021-10-20;2021-10-27;2021-11-03,0,0,0,1,38903;101427;30489;30489,70645;30199;42737;42737,5715;3229;0;0
Cavite,,9/1/21,7/1/21,10/1/21,42100000,Cumulative,0,FALSE,0.3418910395;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-01;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31,0,0,0,1,4710;8071;8071;8071,6069;2142;2533;2533,1196;391;0;0
Bulacan,,9/1/21,7/1/21,10/1/21,31400000,Cumulative,0,FALSE,0.1344778211;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-01;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31,0,0,0,1,2123;2033;2033;2033,3575;1272;1707;1707,2120;434;0;0
Laguna,,9/1/21,7/1/21,10/1/21,43400000,Cumulative,0,FALSE,0.4706494676;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-01;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31,0,0,0,1,4200;4738;4738;4738,3228;2711;3431;3431,1117;720;0;0
Rizal,,9/1/21,7/1/21,10/1/21,45800000,Cumulative,0,FALSE,0.4373708519;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-01;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31,0,0,0,1,2430;5635;5635;5635,3698;1412;1764;1764,1033;352;0;0
NCR,,9/1/21,7/1/21,10/1/21,130000000,Active,0,FALSE,0.1376272103;0.04761771391;0.04762;0.04715;0.04691;0.04679;0.04673;0.04670;0.04669;0.04668;0.04668,2021-07-31;2021-09-01;2021-09-08;2021-09-15;2021-09-22;2021-09-29;2021-10-06;2021-10-13;2021-10-20;2021-10-27;2021-11-03,0,0,0,1,38903;101427;30489;30489,70645;30199;42737;42737,5715;3229;0;0
Cavite,,9/1/21,7/1/21,10/1/21,42100000,Active,0,FALSE,0.2905323346;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-01;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31,0,0,0,1,4710;8071;8071;8071,6069;2142;2533;2533,1196;391;0;0
Bulacan,,9/1/21,7/1/21,10/1/21,31400000,Active,0,FALSE,0.006163229507;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-01;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31,0,0,0,1,2123;2033;2033;2033,3575;1272;1707;1707,2120;434;0;0
Laguna,,9/1/21,7/1/21,10/1/21,43400000,Active,0,FALSE,0.4377650962;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-01;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31,0,0,0,1,4200;4738;4738;4738,3228;2711;3431;3431,1117;720;0;0
Rizal,,9/1/21,7/1/21,10/1/21,45800000,Active,0,FALSE,0.3355380683;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-01;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31,0,0,0,1,2430;5635;5635;5635,3698;1412;1764;1764,1033;352;0;0
