scenariotitle,hsc,starthsc,projstart,projend,psgcInput,fitTo,scalelevel,dateadj,lambdaValues,lambdaDates,lambda,kappa,compliance,allcompartments,vax1,vax2,jvax
10-Northern mindanao,,9/1/21,7/1/21,10/1/21,100000000,Active,0,FALSE,0.1263413794;0.06171794692;0.05987;0.05894;0.05847;0.05824;0.05812;0.05806;0.05803;0.05802;0.05801;0.05801,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,3223;9002;9002;9002,4995;3661;4618;4618,4063;957;0;0
11-Davao,,9/1/21,7/1/21,10/1/21,110000000,Active,0,FALSE,0.4277223987;0.1560251494;0.15274;0.15107;0.15023;0.14981;0.14960;0.14949;0.14944;0.14941;0.14940;0.14939,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,5898;9962;9962;9962,5590;8151;12281;12281,508;4129;0;0
12-Soccsksargen,,9/1/21,7/1/21,10/1/21,120000000,Active,0,FALSE,0.2561036558;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,1689;5310;5310;5310,2422;1587;5239;5239,1848;3652;0;0
NCR-National capital region,,9/1/21,7/1/21,10/1/21,130000000,Active,0,FALSE,0.1376272103;0.04761771391;0.04668;0.04620;0.04597;0.04585;0.04579;0.04576;0.04574;0.04574;0.04573;0.04573,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,38903;101427;30489;30489,70645;30199;42737;42737,5715;3229;0;0
CAR-CAR,,9/1/21,7/1/21,10/1/21,140000000,Active,0,FALSE,0.3469568928;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,1414;2671;2671;2671,2102;1416;2721;2721,2424;1305;0;0
BARMM-BARMM,,9/1/21,7/1/21,10/1/21,150000000,Active,0,FALSE,0.0873575428;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,916;1270;1270;1270,686;748;1270;1270,651;3762;0;0
CARAGA-Caraga,,9/1/21,7/1/21,10/1/21,160000000,Active,0,FALSE,0.393469042;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,1255;3207;3207;3207,2369;1675;3753;3753,2771;2077;0;0
4B-Mimaropa,,9/1/21,7/1/21,10/1/21,170000000,Active,0,FALSE,0.3083177092;0.1771018108;0.16513;0.15878;0.15551;0.15384;0.15300;0.15258;0.15237;0.15227;0.15222;0.15219,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,"1420;3027;3027;3027","1818;1560;3027;3027","422;3590;0;0"
10-Northern mindanao,,9/1/21,7/1/21,10/1/21,100000000,Cumulative,0,FALSE,0.02717276938;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,3223;9002;9002;9002,4995;3661;4618;4618,4063;957;0;0
11-Davao,,9/1/21,7/1/21,10/1/21,110000000,Cumulative,0,FALSE,0.321074503;0.1593795084;0.15611;0.15444;0.15361;0.15319;0.15298;0.15287;0.15282;0.15279;0.15278;0.15277,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,5898;9962;9962;9962,5590;8151;12281;12281,508;4129;0;0
