scenariotitle,hsc,starthsc,projstart,projend,psgcInput,fitTo,scalelevel,dateadj,lambdaValues,lambdaDates,lambda,kappa,compliance,allcompartments,vax1,vax2,jvax
1-Ilocos,,9/1/21,7/1/21,10/1/21,10000000,Active,0,FALSE,0.2040022754;0.09777122347;0.09599;0.09510;0.09465;0.09443;0.09431;0.09426;0.09423;0.09422;0.09421;0.09420,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,3186;8172;8172;8172,2862;3907;5954;5954,5270;2047;0;0
2-Cagayan valley,,9/1/21,7/1/21,10/1/21,20000000,Active,0,FALSE,0.05899059548;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-13;2021-09-20;2021-09-27;2021-10-04;2021-10-11;2021-10-18;2021-10-25;2021-11-01;2021-11-08;2021-11-15,0,0,0,1,2190;4445;4445;4445,2513;3378;5865;5865,1994;2488;0;0
3-Central luzon,,9/1/21,7/1/21,10/1/21,30000000,Active,0,FALSE,0.05651838406;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-05;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07,0,0,0,1,7670;25838;25838;25838,11772;11426;15603;15603,10463;4176;0;0
4A-Calabarzon,,9/1/21,7/1/21,10/1/21,40000000,Active,0,FALSE,0.3052249784;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,22475;39880;39880;39880,19151;15608;21774;21774,7468;6166;0;0
5-Bicol,,9/1/21,7/1/21,10/1/21,50000000,Active,0,FALSE,0.4797936031;0.1286132933;0.12522;0.12350;0.12263;0.12220;0.12198;0.12187;0.12181;0.12179;0.12177;0.12177,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,2503;5101;5101;5101,1714;2894;5101;5101,2073;5566;0;0
1-Ilocos,,9/1/21,7/1/21,10/1/21,10000000,Cumulative,0,FALSE,0.1250681055;0.08980226849;0.08801;0.08711;0.08665;0.08643;0.08631;0.08626;0.08623;0.08622;0.08621;0.08620,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,3186;8172;8172;8172,2862;3907;5954;5954,5270;2047;0;0
2-Cagayan valley,,9/1/21,7/1/21,10/1/21,20000000,Cumulative,0,FALSE,0.1681109248;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-13;2021-09-20;2021-09-27;2021-10-04;2021-10-11;2021-10-18;2021-10-25;2021-11-01;2021-11-08;2021-11-15,0,0,0,1,2190;4445;4445;4445,2513;3378;5865;5865,1994;2488;0;0
3-Central luzon,,9/1/21,7/1/21,10/1/21,30000000,Cumulative,0,FALSE,0.002228902323;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-05;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07,0,0,0,1,7670;25838;25838;25838,11772;11426;15603;15603,10463;4176;0;0
4A-Calabarzon,,9/1/21,7/1/21,10/1/21,40000000,Cumulative,0,FALSE,0.3078961422;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,22475;39880;39880;39880,19151;15608;21774;21774,7468;6166;0;0
5-Bicol,,9/1/21,7/1/21,10/1/21,50000000,Cumulative,0,FALSE,0.3752054354;0.06706112551;0.06343;0.06158;0.06066;0.06019;0.05996;0.05984;0.05978;0.05975;0.05974;0.05973,2021-07-31;2021-09-06;2021-09-12;2021-09-19;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14,0,0,0,1,2503;5101;5101;5101,1714;2894;5101;5101,2073;5566;0;0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
