scenariotitle,hsc,starthsc,projstart,projend,psgcInput,fitTo,scalelevel,dateadj,lambdaValues,lambdaDates,lambda,kappa,compliance,allcompartments,vax1,vax2,jvax
NCR-National capital region,130000000,9/1/21,7/1/21,10/1/21,130000000,Active,0,FALSE,0.126385846;0.06078030983;0.09400232838;0.09378;0.09366;0.09361;0.09358;0.09357;0.09356;0.09356;0.09355;0.09355;0.09355,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,38903;101427;24920;13319,70645;30199;111317;10927,5715;3229;150;0
3-Central luzon,30000000,9/1/21,7/1/21,10/1/21,30000000,Active,0,FALSE,0.01135654482;0;0.1672356435;0.16703;0.16693;0.16687;0.16685;0.16683;0.16683;0.16683;0.16682;0.16682;0.16682,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,7670;25838;25280;25280,11772;11426;19719;19719,10463;4176;23;23
4A-Calabarzon,40000000,9/1/21,7/1/21,10/1/21,40000000,Active,0,FALSE,0.2728782845;0.1415015737;0.4395423341;0.43940;0.43933;0.43930;0.43928;0.43927;0.43927;0.43927;0.43927;0.43926;0.43926,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,22475;39880;29640;29640,19151;15608;38984;38984,7468;6166;0;0
Cavite,42100000,9/1/21,7/1/21,10/1/21,42100000,Active,0,FALSE,0.08830788769;0.2777308715;0.6500791981;0.64999;0.64995;0.64993;0.64992;0.64991;0.64991;0.64991;0.64991;0.64991;0.64991,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,4710;8071;18774;18774,6069;2142;16040;16040,1196;391;1427;1427
Rizal,45800000,9/1/21,7/1/21,10/1/21,45800000,Active,0,FALSE,0.1732865844;0.2456793417;0.4440217906;0.44388;0.44381;0.44378;0.44376;0.44375;0.44375;0.44375;0.44375;0.44375;0.44375,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,2430;5635;8107;8107,3698;1412;7588;7588,1033;352;1232;1232
Bulacan,31400000,9/1/21,7/1/21,10/1/21,31400000,Active,0,FALSE,0;0.01589372893;0.4826441695;0.48252;0.48245;0.48242;0.48240;0.48240;0.48239;0.48239;0.48239;0.48239;0.48239,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,2123;2033;28222,3575;1272;15802,2120;434;5213
Laguna,43400000,9/1/21,7/1/21,10/1/21,43400000,Active,0,FALSE,0.3046161035;0.2255370184;0.5845276357;0.58442;0.58437;0.58435;0.58433;0.58433;0.58432;0.58432;0.58432;0.58432;0.58432,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,4199.56666666667;4737.54838709677;15448.35;15448,3228.46666666667;2711.16129032258;10641.95;10642,1116.86666666667;720.064516129032;1294.8;1295
NCR-National capital region,130000000,9/1/21,7/1/21,10/1/21,130000000,Cumulative,0,FALSE,0.2748500771;0;0.2166801931;0.21649;0.21639;0.21634;0.21632;0.21630;0.21630;0.21629;0.21629;0.21629;0.21629,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,38903;101427;24920;13319,70645;30199;111317;10927,5715;3229;150;0
3-Central luzon,30000000,9/1/21,7/1/21,10/1/21,30000000,Cumulative,0,FALSE,0.03485210008;0;0.2028931362;0.20270;0.20260;0.20255;0.20252;0.20251;0.20250;0.20250;0.20250;0.20250;0.20250,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,7670;25838;25280;25280,11772;11426;19719;19719,10463;4176;23;23
4A-Calabarzon,40000000,9/1/21,7/1/21,10/1/21,40000000,Cumulative,0,FALSE,0.329811166;0.149024468;0.4461274866;0.44599;0.44592;0.44589;0.44587;0.44586;0.44586;0.44585;0.44585;0.44585;0.44585,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,22475;39880;29640;29640,19151;15608;38984;38984,7468;6166;0;0
Cavite,42100000,9/1/21,7/1/21,10/1/21,42100000,Cumulative,0,FALSE,0.193347992;0.2024454829;0.6119925915;0.61190;0.61185;0.61182;0.61181;0.61181;0.61180;0.61180;0.61180;0.61180;0.61180,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,4710;8071;18774;18774,6069;2142;16040;16040,1196;391;1427;1427
Rizal,45800000,9/1/21,7/1/21,10/1/21,45800000,Cumulative,0,FALSE,0.2614953626;0.1679012574;0.4813504431;0.48122;0.48116;0.48113;0.48111;0.48110;0.48110;0.48109;0.48109;0.48109;0.48109,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,2430;5635;8107;8107,3698;1412;7588;7588,1033;352;1232;1232
Bulacan,31400000,9/1/21,7/1/21,10/1/21,31400000,Cumulative,0,FALSE,0.1191170103;0;0.3096132278;0.30944;0.30936;0.30931;0.30929;0.30928;0.30928;0.30927;0.30927;0.30927;0.30927,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,2123;2033;28222,3575;1272;15802,2120;434;5213
Laguna,43400000,9/1/21,7/1/21,10/1/21,43400000,Cumulative,0,FALSE,0.3735705067;0.1794522519;0.555087307;0.55498;0.55492;0.55489;0.55488;0.55487;0.55487;0.55487;0.55487;0.55487;0.55487,2021-07-31;2021-08-31;2021-09-20;2021-09-26;2021-10-03;2021-10-10;2021-10-17;2021-10-24;2021-10-31;2021-11-07;2021-11-14;2021-11-21;2021-11-28,0,0,0,1,4199.56666666667;4737.54838709677;15448.35;15448,3228.46666666667;2711.16129032258;10641.95;10642,1116.86666666667;720.064516129032;1294.8;1295
