Unnamed: 0,regionpsgc,provincepsgc,municipalitycitypsgc,linelist_date,active_cases
0,NDA,NDA,NDA,2020-05-01,7109
1,NDA,NDA,NDA,2020-05-02,7201
2,NDA,NDA,NDA,2020-05-10,8151
3,NDA,NDA,NDA,2020-05-11,8361
4,NDA,NDA,NDA,2020-05-03,7402
5,NDA,NDA,NDA,2020-05-04,7547
6,NDA,NDA,NDA,2020-05-05,7639
7,NDA,NDA,NDA,2020-05-06,7840
8,NDA,NDA,NDA,2020-05-07,8040
9,NDA,NDA,NDA,2020-05-08,8033
10,NDA,NDA,NDA,2020-05-09,8064
11,NDA,NDA,NDA,2020-05-12,8493
12,NDA,NDA,NDA,2020-05-13,8595
13,030000000,035400000,035409000,2020-05-14,3
14,030000000,035400000,035409000,2020-05-16,3
15,030000000,035400000,035409000,2020-05-17,5
16,030000000,035400000,035409000,2020-05-18,5
17,030000000,035400000,035409000,2020-05-19,5
18,030000000,035400000,035409000,2020-05-20,5
19,030000000,035400000,035409000,2020-05-21,5
20,030000000,035400000,035409000,2020-05-22,5
21,030000000,035400000,035409000,2020-05-23,5
22,030000000,035400000,035409000,2020-05-24,5
23,030000000,035400000,035409000,2020-05-25,5
24,030000000,035400000,035409000,2020-05-26,5
25,030000000,035400000,035409000,2020-05-27,5
26,030000000,035400000,035409000,2020-05-29,5
27,030000000,035400000,035409000,2020-05-30,5
28,030000000,035400000,035409000,2020-05-31,6
29,070000000,072200000,072217000,2020-05-14,1505
30,070000000,072200000,072217000,2020-05-16,1505
31,070000000,072200000,072217000,2020-05-17,1505
32,070000000,072200000,072217000,2020-05-18,1512
33,070000000,072200000,072217000,2020-05-19,1517
34,070000000,072200000,072217000,2020-05-20,1530
35,070000000,072200000,072217000,2020-05-21,1538
36,070000000,072200000,072217000,2020-05-22,1538
37,070000000,072200000,072217000,2020-05-23,1538
38,070000000,072200000,072217000,2020-05-24,1538
39,070000000,072200000,072217000,2020-05-25,1578
40,070000000,072200000,072217000,2020-05-26,1580
41,070000000,072200000,072217000,2020-05-27,1577
42,070000000,072200000,072217000,2020-05-29,1648
43,070000000,072200000,072217000,2020-05-30,1659
44,070000000,072200000,072217000,2020-05-31,1698
45,070000000,NDA,NDA,2020-05-31,7
46,130000000,137400000,137404000,2020-05-14,1126
47,130000000,137400000,137404000,2020-05-16,1149
48,130000000,137400000,137404000,2020-05-17,1151
49,130000000,137400000,137404000,2020-05-18,1140
50,130000000,137400000,137404000,2020-05-19,1168
51,130000000,137400000,137404000,2020-05-20,1161
52,130000000,137400000,137404000,2020-05-21,1152
53,130000000,137400000,137404000,2020-05-22,1152
54,130000000,137400000,137404000,2020-05-23,1176
55,130000000,137400000,137404000,2020-05-24,1181
56,130000000,137400000,137404000,2020-05-25,1170
