Unnamed: 0,regionpsgc,provincepsgc,municipalitycitypsgc,linelist_date,active_cases
0,010000000,012800000,012805000,2020-04-11,1
1,010000000,012800000,012805000,2020-04-12,1
2,010000000,012800000,012812000,2020-04-11,1
3,010000000,012800000,012812000,2020-04-12,1
4,010000000,012800000,012812000,2020-04-13,1
5,010000000,012800000,012812000,2020-04-14,1
6,010000000,012800000,012812000,2020-04-15,3
7,010000000,012800000,012812000,2020-04-16,1
8,010000000,012800000,012812000,2020-04-17,1
9,010000000,012800000,012812000,2020-04-18,1
10,010000000,012800000,012812000,2020-04-19,1
11,010000000,012800000,012812000,2020-04-20,1
12,010000000,012800000,012812000,2020-04-21,1
13,010000000,012800000,012812000,2020-04-22,1
14,010000000,012800000,012812000,2020-04-23,1
15,010000000,012800000,012812000,2020-04-24,2
16,010000000,012800000,012816000,2020-04-09,1
17,010000000,012800000,012816000,2020-04-10,1
18,010000000,012800000,012816000,2020-04-11,1
19,010000000,012800000,012816000,2020-04-12,1
20,010000000,012900000,012928000,2020-04-15,1
21,010000000,012900000,012930000,2020-04-15,1
22,010000000,012900000,012933000,2020-04-11,1
23,010000000,012900000,012933000,2020-04-12,1
24,010000000,012900000,012933000,2020-04-13,1
25,010000000,012900000,012933000,2020-04-14,1
26,010000000,012900000,012933000,2020-04-15,1
27,010000000,012900000,012933000,2020-04-16,1
28,010000000,012900000,012933000,2020-04-17,1
29,010000000,012900000,012933000,2020-04-18,1
30,010000000,012900000,012933000,2020-04-19,1
31,010000000,012900000,012933000,2020-04-20,1
32,010000000,012900000,012933000,2020-04-21,1
33,010000000,012900000,012933000,2020-04-22,1
34,010000000,012900000,012933000,2020-04-23,1
35,010000000,012900000,012933000,2020-04-24,1
36,010000000,013300000,013301000,2020-04-11,1
37,010000000,013300000,013301000,2020-04-12,1
38,010000000,013300000,013301000,2020-04-13,1
39,010000000,013300000,013301000,2020-04-14,1
40,010000000,013300000,013301000,2020-04-15,1
41,010000000,013300000,013301000,2020-04-16,1
42,010000000,013300000,013301000,2020-04-17,1
43,010000000,013300000,013301000,2020-04-18,1
44,010000000,013300000,013301000,2020-04-19,1
45,010000000,013300000,013301000,2020-04-20,1
46,010000000,013300000,013301000,2020-04-21,1
47,010000000,013300000,013301000,2020-04-22,1
48,010000000,013300000,013301000,2020-04-23,1
49,010000000,013300000,013301000,2020-04-24,1
50,010000000,013300000,013307000,2020-04-02,1
51,010000000,013300000,013307000,2020-04-03,1
52,010000000,013300000,013307000,2020-04-04,1
53,010000000,013300000,013307000,2020-04-05,1
54,010000000,013300000,013307000,2020-04-06,1
55,010000000,013300000,013307000,2020-04-07,1
56,010000000,013300000,013307000,2020-04-08,1
57,010000000,013300000,013307000,2020-04-09,2
58,010000000,013300000,013307000,2020-04-10,2
59,010000000,013300000,013307000,2020-04-11,1
60,010000000,013300000,013307000,2020-04-12,1
61,010000000,013300000,013307000,2020-04-13,1
62,010000000,013300000,013307000,2020-04-14,1
63,010000000,013300000,013307000,2020-04-15,1
64,010000000,013300000,013307000,2020-04-16,1
65,010000000,013300000,013307000,2020-04-17,1
66,010000000,013300000,013307000,2020-04-18,1
67,010000000,013300000,013307000,2020-04-19,1
68,010000000,013300000,013307000,2020-04-20,1
69,010000000,013300000,013307000,2020-04-21,1
70,010000000,013300000,013307000,2020-04-22,1
71,010000000,013300000,013307000,2020-04-23,1
72,010000000,013300000,013307000,2020-04-24,1
73,010000000,013300000,013308000,2020-04-02,1
74,010000000,013300000,013308000,2020-04-03,1
75,010000000,013300000,013308000,2020-04-04,1
76,010000000,013300000,013308000,2020-04-05,1
77,010000000,013300000,013308000,2020-04-06,1
78,010000000,013300000,013308000,2020-04-07,1
79,010000000,013300000,013308000,2020-04-08,1
80,010000000,013300000,013308000,2020-04-09,1
81,010000000,013300000,013308000,2020-04-10,1
82,010000000,013300000,013308000,2020-04-11,1
83,010000000,013300000,013308000,2020-04-12,1
84,010000000,013300000,013308000,2020-04-13,1
85,010000000,013300000,013308000,2020-04-14,1
86,010000000,013300000,013308000,2020-04-15,1
