Unnamed: 0,regionpsgc,provincepsgc,municipalitycitypsgc,linelist_date,active_cases
0,010000000,013300000,013309000,2020-03-26,2
1,010000000,013300000,013309000,2020-03-27,2
2,010000000,013300000,013309000,2020-03-28,2
3,010000000,013300000,013309000,2020-03-29,2
4,010000000,013300000,013309000,2020-03-30,2
5,010000000,013300000,NDA,2020-03-31,2
6,010000000,015500000,015511000,2020-03-30,1
7,010000000,015500000,NDA,2020-03-30,1
8,010000000,015500000,NDA,2020-03-31,2
9,020000000,021500000,021513000,2020-03-26,1
10,020000000,021500000,021513000,2020-03-27,1
11,020000000,021500000,021513000,2020-03-28,1
12,020000000,021500000,021513000,2020-03-29,1
13,020000000,021500000,021513000,2020-03-30,1
14,020000000,021500000,021528000,2020-03-26,1
15,020000000,021500000,021528000,2020-03-27,1
16,020000000,021500000,021528000,2020-03-28,1
17,020000000,021500000,021528000,2020-03-29,1
18,020000000,021500000,021528000,2020-03-30,1
19,020000000,021500000,021529000,2020-03-26,1
20,020000000,021500000,021529000,2020-03-27,4
21,020000000,021500000,021529000,2020-03-28,4
22,020000000,021500000,021529000,2020-03-29,6
23,020000000,021500000,021529000,2020-03-30,6
24,020000000,021500000,NDA,2020-03-31,8
25,020000000,023100000,023101000,2020-03-27,3
26,020000000,023100000,023101000,2020-03-28,3
27,020000000,023100000,023101000,2020-03-29,3
28,020000000,023100000,023101000,2020-03-30,3
29,020000000,023100000,023112000,2020-03-27,1
30,020000000,023100000,023112000,2020-03-28,1
31,020000000,023100000,023112000,2020-03-29,1
32,020000000,023100000,023112000,2020-03-30,1
33,020000000,023100000,NDA,2020-03-31,4
34,020000000,025000000,025005000,2020-03-30,1
35,020000000,025000000,025013000,2020-03-27,1
36,020000000,025000000,025013000,2020-03-28,1
37,020000000,025000000,025013000,2020-03-29,2
38,020000000,025000000,025013000,2020-03-30,1
39,020000000,025000000,025015000,2020-03-30,1
40,020000000,025000000,NDA,2020-03-31,3
41,030000000,030800000,030806000,2020-03-26,1
42,030000000,030800000,030806000,2020-03-27,1
43,030000000,030800000,030806000,2020-03-28,1
44,030000000,030800000,030806000,2020-03-29,1
45,030000000,030800000,030806000,2020-03-30,1
46,030000000,030800000,030809000,2020-03-26,1
47,030000000,030800000,030809000,2020-03-27,1
48,030000000,030800000,030809000,2020-03-28,1
49,030000000,030800000,030809000,2020-03-29,1
50,030000000,030800000,030809000,2020-03-30,1
51,030000000,030800000,NDA,2020-03-31,2
52,030000000,031400000,031403000,2020-03-26,1
53,030000000,031400000,031403000,2020-03-27,1
54,030000000,031400000,031403000,2020-03-28,1
55,030000000,031400000,031403000,2020-03-29,1
56,030000000,031400000,031403000,2020-03-30,1
57,030000000,031400000,031405000,2020-03-26,1
58,030000000,031400000,031405000,2020-03-27,1
59,030000000,031400000,031405000,2020-03-28,3
60,030000000,031400000,031405000,2020-03-29,3
61,030000000,031400000,031405000,2020-03-30,3
62,030000000,031400000,031408000,2020-03-26,1
63,030000000,031400000,031408000,2020-03-27,1
64,030000000,031400000,031408000,2020-03-28,1
65,030000000,031400000,031408000,2020-03-29,1
66,030000000,031400000,031408000,2020-03-30,1
67,030000000,031400000,031410000,2020-03-26,1
68,030000000,031400000,031410000,2020-03-27,1
69,030000000,031400000,031410000,2020-03-28,1
70,030000000,031400000,031410000,2020-03-29,1
71,030000000,031400000,031410000,2020-03-30,3
72,030000000,031400000,031412000,2020-03-26,1
73,030000000,031400000,031412000,2020-03-27,1
74,030000000,031400000,031412000,2020-03-28,1
75,030000000,031400000,031412000,2020-03-29,1
76,030000000,031400000,031412000,2020-03-30,1
77,030000000,031400000,031419000,2020-03-26,2
78,030000000,031400000,031419000,2020-03-27,2
79,030000000,031400000,031419000,2020-03-28,2
80,030000000,031400000,031419000,2020-03-29,2
81,030000000,031400000,031419000,2020-03-30,2
82,030000000,031400000,031420000,2020-03-26,2
83,030000000,031400000,031420000,2020-03-27,2
84,030000000,031400000,031420000,2020-03-28,2
85,030000000,031400000,031420000,2020-03-29,2
86,030000000,031400000,031420000,2020-03-30,2
87,030000000,031400000,031421000,2020-03-30,1
88,030000000,031400000,NDA,2020-03-31,18
89,030000000,034900000,034903000,2020-03-26,1
90,030000000,034900000,034903000,2020-03-27,1
91,030000000,034900000,034903000,2020-03-28,1
92,030000000,034900000,034903000,2020-03-29,1
93,030000000,034900000,034903000,2020-03-30,1
94,030000000,034900000,034908000,2020-03-28,2
95,030000000,034900000,034908000,2020-03-29,2
96,030000000,034900000,034908000,2020-03-30,2
97,030000000,034900000,034925000,2020-03-26,1
98,030000000,034900000,034925000,2020-03-27,1
99,030000000,034900000,034925000,2020-03-28,1
100,030000000,034900000,034925000,2020-03-29,1
101,030000000,034900000,034925000,2020-03-30,1
102,030000000,034900000,NDA,2020-03-31,9
103,030000000,035400000,035406000,2020-03-26,1
