"","pop","equar","first_date","equar_date","lambdaValues","tau","beta","c","c1","c2","omega","thetaA","thetaS","r","deltaA","deltaA1","deltaA2","epsT","epsI","epsIH","E1","E2","E3","E4","E5","k1","k2","mu","deltaS","tv1","tv2","J","S0","E0","IA0","IS0","V10","Ev10","IAv10","ISv10","V20","Ev20","IAv20","ISv20","Q0","C0","R0","startProjection_date","FittedTo","Convergence","fitness","distance","Geographical.Level","Geographical.Place","popMultiplier","area"
"1",10353498,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.13762721027773;0.0476177139092303;0.0476177139092303",5,0.434343268,0.18,0.248660902,0.43012825,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.00138828980542588,1,1,1,1,1,0.802165918,0.438497967,0.0000405479,"0.13;0.2","38903;101427;30489","70645;30199;42737","5715;3229;0",9508567,2042,99,2493,2369751,629,44,693,1122322,174,21,144,7255,7265,790428,"2021-08-01","Active",0,0.992650576233877,1471.02900752117,"region","NCR-National capital region",0.75,130000000
"1",10353498,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.275827316021601;0;0",5,0.434343268,0.18,0.248660902,0.43012825,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.00138828980542588,1,1,1,1,1,0.802165918,0.438497967,0.0000405479,"0.13;0.2","38903;101427;30489","70645;30199;42737","5715;3229;0",9775392,2847,166,3620,2369751,839,71,963,1122322,233,34,200,7255,528130,520973,"2021-08-01","Cumulative",52,0.999522529743216,1692.38842385115,"region","NCR-National capital region",0.75,130000000
"1",2735006,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.00616322950671834;0;0",5,0.325757451,0.18,0.243140037,0.428313045,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.00147861738509196,1,1,1,1,1,0.848125922,0.447885935,0.0000405479,"0.13;0.22","2123;2033;2033","3575;1272;1707","2120;434;0",3376264,397,80,800,149213,19,1,20,47917,4,0,3,1073,1070,71258,"2021-08-01","Active",0,0.989243410509013,395.16770804221,"province","Bulacan",0.75,31400000
"1",3158146,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.290532334597079;0;0",5,0.434343268,0.18,0.243128185,0.428520819,0.33,0.071428571,0.071428571,0.09101277,0.03,0.012,0.012,0.001888834,0.001888834,0.00147005988099241,1,1,1,1,1,0.843204185,0.435017378,0.0000405479,"0.12;0.29","4710;8071;8071","6069;2142;2533","1196;391;0",3795079,582,50,900,203312,34,3,38,111984,11,1,9,1697,1706,97369,"2021-08-01","Active",0,0.993853555142731,421.998295186346,"province","Cavite",0.75,42100000
"1",2507781,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.437765096202658;0;0",5,0.434343268,0.18,0.244864019,0.427763377,0.33,0.071428571,0.071428571,0.09101277,0.0275,0.011,0.011,0.001888834,0.001888834,0.0014579001116846,1,1,1,1,1,0.838151769,0.436045603,0.0000405479,"0.11;0.29","4200;4738;4738","3228;2711;3431","1117;720;0",3066394,940,56,1141,127070,41,4,44,64706,13,2,11,2396,2396,80892,"2021-08-01","Active",52,0.988611438084308,376.653649026545,"province","Laguna",0.75,43400000
"2",2406722,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.335538068324489;0;0",5,0.434343268,0.18,0.244528081,0.427770255,0.33,0.071428571,0.071428571,0.09101277,0.02928525,0.0117141,0.0117141,0.001888834,0.001888834,0.00144436144633594,1,1,1,1,1,0.829999101,0.43465438,0.0000405479,"0.117141;0.28","2430;5635;5635","3698;1412;1764","1033;352;0",2900883,325,18,398,162021,20,2,22,66520,5,1,4,985,980,77761,"2021-08-01","Active",52,0.986525062085021,269.522873224806,"province","Rizal",0.75,45800000
"1",3158146,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.341891039535061;0;0",5,0.434343268,0.18,0.243128185,0.428520819,0.33,0.071428571,0.071428571,0.09101277,0.03125,0.0125,0.0125,0.001888834,0.001888834,0.00147005988099241,1,1,1,1,1,0.843204185,0.435017378,0.0000405479,"0.125;0.275","4710;8071;8071","6069;2142;2533","1196;391;0",3820617,811,80,1200,203312,47,4,51,111984,15,2,12,1697,73044,71283,"2021-08-01","Cumulative",52,0.999362549106573,533.6134933771,"province","Cavite",0.75,42100000
"1",2735006,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.134477821075611;0;0",5,0.325757451,0.18,0.243140037,0.428313045,0.33,0.071428571,0.071428571,0.09101277,0.025,0.01,0.01,0.001888834,0.001888834,0.00147861738509196,1,1,1,1,1,0.848125922,0.447885935,0.0000405479,"0.1;0.205","2123;2033;2033","3575;1272;1707","2120;434;0",3398358,382,80,800,149213,18,1,19,47917,3,0,3,1073,50134,49195,"2021-08-01","Cumulative",0,0.999312030017569,347.863898090159,"province","Bulacan",0.75,31400000
"1",2507781,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.470649467605647;0;0",5,0.434343268,0.18,0.244864019,0.427763377,0.33,0.071428571,0.071428571,0.09101277,0.03125,0.0125,0.0125,0.001888834,0.001888834,0.0014579001116846,1,1,1,1,1,0.838151769,0.436045603,0.0000405479,"0.125;0.278","4200;4738;4738","3228;2711;3431","1117;720;0",3089971,1189,120,1700,127070,51,5,54,64706,16,3,13,2396,59185,56736,"2021-08-01","Cumulative",52,0.999420292319327,371.9434132696,"province","Laguna",0.75,43400000
"1",2406722,"31;62;92","2021-07-01","2021-07-31;2021-08-31;2021-09-30","0.437370851909275;0;0",5,0.434343268,0.18,0.244528081,0.427770255,0.33,0.071428571,0.071428571,0.09101277,0.02928525,0.0117141,0.0117141,0.001888834,0.001888834,0.00144436144633594,1,1,1,1,1,0.829999101,0.43465438,0.0000405479,"0.117141;0.26","2430;5635;5635","3698;1412;1764","1033;352;0",2923450,388,50,700,162021,23,2,26,66520,6,1,5,985,55936,55038,"2021-08-01","Cumulative",0,0.999122011910431,249.42060793842,"province","Rizal",0.75,45800000
